chars,words,vowels,num_of_punctuations,first_letter_caps,is_heading
2,1,0,0,0,0
1,1,0,0,0,0
96,10,33,1,1,0
464,61,128,32,1,0
1,1,0,0,0,0
38,5,3,5,0,0
1,1,0,0,0,0
1857,257,560,56,1,0
1,1,0,0,0,0
360,53,104,12,1,0
303,40,67,20,1,0
1,1,0,0,0,0
2182,344,658,83,1,0
110,8,19,23,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
3415,546,1002,108,0,0
1,1,0,0,0,0
3351,540,978,102,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
554,114,100,39,1,0
1,1,0,0,0,0
164,20,44,3,1,0
1,1,0,0,0,0
2787,437,838,68,0,0
1,1,0,0,0,0
2734,417,818,71,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
3442,543,994,155,0,0
1,1,0,0,0,0
3024,515,876,119,0,0
215,41,57,12,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
29,6,6,2,0,0
1,1,0,0,0,0
33,7,7,1,1,0
1,1,0,0,0,0
44,6,14,0,0,0
1,1,0,0,0,0
2223,427,594,158,0,0
1,1,0,0,0,0
47,6,18,0,0,0
1,1,0,0,0,0
130,24,34,5,1,0
1,1,0,0,0,0
2245,431,609,110,0,0
554,102,155,10,1,0
1,1,0,0,0,0
992,203,251,107,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
339,59,101,7,1,0
27,5,2,10,1,0
1,1,0,0,0,0
4,1,1,0,0,0
1,1,0,0,0,0
19,5,3,5,0,0
8,2,1,1,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
5,1,0,2,0,0
4,1,1,0,0,0
1,1,0,0,0,0
59,21,3,19,0,0
1,1,0,0,0,0
1220,209,347,56,1,0
8,3,1,1,0,0
1,1,0,0,0,0
46,14,4,14,0,0
1,1,0,0,0,0
18,6,0,5,0,0
1,1,0,0,0,0
930,182,238,68,0,0
284,45,58,51,1,0
1,1,0,0,0,0
2505,416,737,76,0,0
15,4,1,3,1,0
1,1,0,0,0,0
11,5,0,3,1,0
9,3,0,2,0,0
1,1,0,0,0,0
54,15,0,16,0,0
1,1,0,0,0,0
23,4,8,0,0,0
15,4,1,3,1,0
1,1,0,0,0,0
8,3,0,3,1,0
9,3,0,2,0,0
1,1,0,0,0,0
55,15,0,18,0,0
1,1,0,0,0,0
142,22,42,3,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
3143,518,883,86,1,0
126,21,37,3,1,0
1,1,0,0,0,0
30,6,4,1,1,0
1,1,0,0,0,0
5,1,0,0,1,0
35,5,10,1,1,0
4,1,0,0,1,0
5,1,0,1,0,0
1,1,0,0,0,0
45,7,11,1,1,0
1,1,0,0,0,0
41,5,12,0,0,0
1,1,0,0,0,0
4,1,0,0,1,0
5,1,0,1,0,0
1,1,0,0,0,0
4,1,0,0,1,0
5,1,0,1,0,0
1,1,0,0,0,0
4,1,0,0,1,0
5,1,0,1,0,0
1,1,0,0,0,0
4,1,0,0,1,0
5,1,0,1,0,0
1,1,0,0,0,0
4,1,0,0,1,0
5,1,0,1,0,0
1,1,0,0,0,0
7,1,2,0,0,0
1,1,0,0,0,0
40,6,15,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
59,11,16,3,1,0
1,1,0,0,0,0
2478,482,662,163,1,0
229,40,70,7,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
1222,272,271,136,1,0
1,1,0,0,0,0
1058,178,331,32,0,0
1,1,0,0,0,0
2545,469,680,139,0,0
39,12,6,11,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
821,129,233,31,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
1010,229,200,92,1,0
1,1,0,0,0,0
1438,305,331,123,0,0
3,1,1,0,0,0
1,1,0,0,0,0
27,7,4,5,1,0
1,1,0,0,0,0
5,1,1,1,1,0
1,1,0,0,0,0
3,1,1,0,1,0
1,1,0,0,0,0
2,1,0,1,0,0
3,1,1,0,0,0
1,1,0,0,0,0
38,11,5,9,1,0
1,1,0,0,0,0
11,4,1,1,0,0
1,1,0,0,0,0
7,3,0,1,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
14,4,2,2,1,0
3,1,1,0,0,0
1,1,0,0,0,0
5,1,1,1,1,0
1,1,0,0,0,0
1036,164,296,36,0,0
1,1,0,0,0,0
872,173,241,41,1,0
151,27,43,6,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
3144,547,880,104,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2807,480,785,92,1,0
4,2,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
530,93,158,13,1,0
2,1,0,0,0,0
1,1,0,0,0,0
5,2,0,0,0,0
1,1,0,0,0,0
5,2,0,0,0,0
1,1,0,0,0,0
16,3,5,0,0,0
1,1,0,0,0,0
5,2,0,0,0,0
1,1,0,0,0,0
16,3,5,0,0,0
21,5,0,0,0,0
1,1,0,0,0,0
5,2,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
5,1,0,0,0,0
1,1,0,0,0,0
5,1,0,0,0,0
1,1,0,0,0,0
5,1,0,0,0,0
1,1,0,0,0,0
20,3,5,1,0,0
1,1,0,0,0,0
28,4,10,0,0,0
1,1,0,0,0,0
15,2,3,4,0,0
1,1,0,0,0,0
23,3,7,3,0,0
1,1,0,0,0,0
48,8,13,4,1,0
1,1,0,0,0,0
548,101,146,30,1,0
15,4,1,3,1,0
1,1,0,0,0,0
9,3,0,4,1,0
9,3,0,2,0,0
1,1,0,0,0,0
13,3,0,4,0,0
1,1,0,0,0,0
1661,283,459,85,1,0
17,4,1,5,0,0
1,1,0,0,0,0
13,4,0,5,0,0
4,1,0,1,0,0
1,1,0,0,0,0
6,2,0,2,0,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
2522,451,701,121,0,0
265,47,77,6,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
1152,201,337,38,0,0
15,4,1,6,0,0
1,1,0,0,0,0
152,27,16,6,1,0
1,1,0,0,0,0
314,59,19,25,1,0
1,1,0,0,0,0
15,5,3,1,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
19,7,2,3,0,0
1,1,0,0,0,0
5,2,1,1,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
2004,347,576,96,0,0
1,1,0,0,0,0
2094,346,599,79,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
87,20,0,8,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
6,2,0,0,0,0
1,1,0,0,0,0
35,5,12,0,0,0
1,1,0,0,0,0
35,6,12,0,0,0
1,1,0,0,0,0
45,7,9,1,1,0
1,1,0,0,0,0
20,9,0,1,0,0
1,1,0,0,0,0
45,7,9,1,1,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
16,3,4,0,0,0
1,1,0,0,0,0
26,3,10,0,0,0
1,1,0,0,0,0
37,5,9,3,0,0
6,2,0,0,0,0
1,1,0,0,0,0
37,5,9,3,0,0
1,1,0,0,0,0
87,20,0,8,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
35,5,12,0,0,0
1,1,0,0,0,0
35,6,12,0,0,0
1,1,0,0,0,0
45,7,9,1,1,0
1,1,0,0,0,0
20,9,0,1,0,0
1,1,0,0,0,0
45,7,9,1,1,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
16,3,4,0,0,0
1,1,0,0,0,0
26,3,10,0,0,0
1,1,0,0,0,0
156,30,39,14,0,0
1,1,0,0,0,0
168,28,46,8,0,0
1,1,0,0,0,0
1357,229,381,56,0,0
1,1,0,0,0,0
1096,189,284,66,1,0
194,33,55,6,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
35,6,12,0,0,0
1,1,0,0,0,0
32,8,0,8,0,0
1,1,0,0,0,0
45,7,9,1,1,0
1,1,0,0,0,0
51,10,0,0,0,0
1,1,0,0,0,0
16,3,4,0,0,0
1,1,0,0,0,0
1276,212,326,26,0,0
1,1,0,0,0,0
138,28,35,11,1,0
6,2,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
35,5,12,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
45,7,9,1,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
6,2,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
26,3,10,0,0,0
1,1,0,0,0,0
150,26,42,5,1,0
1,1,0,0,0,0
1184,211,318,55,0,0
1,1,0,0,0,0
622,146,139,48,1,0
13,3,1,3,0,0
1,1,0,0,0,0
13,4,1,4,1,0
5,2,0,0,0,0
1,1,0,0,0,0
46,13,0,13,0,0
18,5,1,4,0,0
1,1,0,0,0,0
12,4,1,4,1,0
7,3,0,1,0,0
1,1,0,0,0,0
46,13,0,13,0,0
18,5,1,4,0,0
1,1,0,0,0,0
12,4,2,4,1,0
10,4,0,2,0,0
1,1,0,0,0,0
48,14,0,14,0,0
1,1,0,0,0,0
381,66,95,38,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
509,100,123,41,0,0
1,1,0,0,0,0
193,32,58,10,1,0
3,1,1,0,0,0
1,1,0,0,0,0
25,7,4,6,0,0
1,1,0,0,0,0
14,3,2,3,1,0
1,1,0,0,0,0
3,1,1,0,1,0
1,1,0,0,0,0
4,2,0,1,1,0
1,1,0,0,0,0
5,2,2,0,0,0
1,1,0,0,0,0
70,23,14,11,1,0
1,1,0,0,0,0
20,6,2,4,1,0
3,1,1,0,0,0
1,1,0,0,0,0
621,141,139,70,0,0
1,1,0,0,0,0
321,87,59,48,1,0
3,1,1,0,0,0
1,1,0,0,0,0
24,9,2,3,1,0
4,2,0,0,0,0
1,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
12,4,2,1,1,0
3,1,1,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
9,3,1,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
20,6,2,4,1,0
3,1,1,0,0,0
1,1,0,0,0,0
39,12,7,9,1,0
1,1,0,0,0,0
259,59,59,19,0,0
1,1,0,0,0,0
11,4,1,3,1,0
7,3,0,1,0,0
1,1,0,0,0,0
46,13,0,13,0,0
5,2,0,1,0,0
1,1,0,0,0,0
846,179,206,105,1,0
3,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
7,3,0,1,0,0
1,1,0,0,0,0
10,3,1,1,0,0
1,1,0,0,0,0
53,14,11,5,1,0
7,3,0,1,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
15,7,1,1,0,0
1,1,0,0,0,0
2,1,0,1,0,0
5,2,0,1,0,0
1,1,0,0,0,0
9,2,0,4,1,0
8,3,0,1,0,0
1,1,0,0,0,0
96,26,0,30,0,0
5,2,0,1,0,0
1,1,0,0,0,0
11,5,1,0,1,0
8,4,0,1,0,0
1,1,0,0,0,0
430,96,110,34,0,0
7,3,0,1,0,0
1,1,0,0,0,0
2,1,0,1,0,0
6,3,0,1,0,0
1,1,0,0,0,0
11,3,0,4,1,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
119,24,32,6,1,0
3,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
6,3,0,1,0,0
1,1,0,0,0,0
11,3,0,4,1,0
5,2,0,1,0,0
1,1,0,0,0,0
52,14,0,17,0,0
1,1,0,0,0,0
3,2,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
8,2,1,3,0,0
1,1,0,0,0,0
3,1,1,0,1,0
1,1,0,0,0,0
2,1,0,0,1,0
1,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
10,3,1,3,0,0
1,1,0,0,0,0
2,1,0,1,0,0
5,2,0,1,0,0
1,1,0,0,0,0
21,6,1,5,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
177,36,34,25,1,0
1,1,0,0,0,0
41,9,7,7,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
11,3,0,4,1,0
5,2,0,1,0,0
1,1,0,0,0,0
46,13,0,13,0,0
3,1,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
19,8,0,5,0,0
4,1,0,1,0,0
1,1,0,0,0,0
21,6,0,7,0,0
5,2,0,1,0,0
1,1,0,0,0,0
17,5,0,6,1,0
1,1,0,0,0,0
1,1,0,0,0,0
46,14,0,16,0,0
4,1,0,1,0,0
1,1,0,0,0,0
46,14,0,10,0,0
5,2,0,1,0,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
56,14,10,7,1,0
8,3,0,1,0,0
1,1,0,0,0,0
20,8,0,6,0,0
4,1,0,1,0,0
1,1,0,0,0,0
20,6,0,6,0,0
5,2,0,1,0,0
1,1,0,0,0,0
2,1,0,1,0,0
5,2,0,1,0,0
1,1,0,0,0,0
23,6,0,7,0,0
2,2,0,0,0,0
1,1,0,0,0,0
61,18,8,20,0,0
1,1,0,0,0,0
6,2,0,2,0,0
1,1,0,0,0,0
41,12,0,9,0,0
4,1,0,1,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
23,6,0,7,1,0
46,14,0,10,0,0
6,3,0,1,0,0
1,1,0,0,0,0
213,42,51,17,0,0
1,1,0,0,0,0
20,3,4,3,0,0
1,1,0,0,0,0
169,37,32,32,1,0
26,4,4,8,0,0
1,1,0,0,0,0
32,11,4,9,1,0
9,3,0,2,0,0
2,2,0,0,0,0
1,1,0,0,0,0
2,1,0,0,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
24,6,0,8,1,0
43,13,0,10,0,0
4,1,0,1,0,0
1,1,0,0,0,0
6,3,0,1,1,0
1,1,0,0,0,0
31,9,4,9,0,0
1,1,0,0,0,0
4,2,0,1,1,0
1,1,0,0,0,0
32,6,4,12,1,0
3,2,0,0,0,0
1,1,0,0,0,0
33,10,4,9,0,0
13,2,2,4,0,0
1,1,0,0,0,0
3,1,0,1,1,0
5,2,0,1,0,0
1,1,0,0,0,0
21,6,1,5,0,0
1,1,0,0,0,0
2,1,0,0,1,0
1,1,0,0,0,0
2,1,0,0,1,0
13,2,2,4,0,0
1,1,0,0,0,0
7,2,1,1,0,0
1,1,0,0,0,0
6,1,0,5,0,0
1,1,0,0,0,0
7,2,1,1,0,0
1,1,0,0,0,0
90,21,23,8,0,0
1,1,0,0,0,0
5,2,1,0,1,0
1,1,0,0,0,0
10,4,1,3,0,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
524,100,149,28,1,0
2,1,0,0,1,0
1,1,0,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
11,4,1,3,1,0
3,1,1,0,0,0
1,1,0,0,0,0
11,4,2,1,1,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
3,1,0,1,1,0
5,2,0,1,0,0
1,1,0,0,0,0
21,6,1,5,0,0
1,1,0,0,0,0
62,13,19,1,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
28,5,6,1,0,0
5,2,0,1,0,0
1,1,0,0,0,0
26,9,5,5,0,0
2,1,0,0,1,0
1,1,0,0,0,0
42,12,2,9,0,0
5,2,0,1,0,0
1,1,0,0,0,0
1,1,0,0,0,0
6,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
14,5,1,2,0,0
3,1,1,0,0,0
1,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
11,4,2,1,1,0
36,9,4,6,0,0
3,1,1,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
5,2,0,1,1,0
1,1,0,0,0,0
2,1,0,1,0,0
4,1,0,1,0,0
1,1,0,0,0,0
8,2,1,0,0,0
6,2,1,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
15,6,1,2,0,0
1,1,0,0,0,0
3,1,0,1,1,0
5,2,0,1,0,0
1,1,0,0,0,0
27,9,1,5,1,0
3,1,1,0,0,0
1,1,0,0,0,0
5,1,1,0,0,0
6,2,0,1,0,0
1,1,0,0,0,0
12,4,2,1,1,0
3,1,1,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
